ref_number,,,reference_num,section,missing,categories,name
42.300.159.02-2,,,42300159022,nase_kategorie,photo,NOBEL BIOCARE,DAS Multi-Unit straight G2 Comp.0159 30N·cm
42.302.016.01-2,,,42302016012,nase_kategorie,photo,MIS,Straight Multi-unit GH:1mm
42.302.016.03-2,,,42302016032,nase_kategorie,photo,MIS,Straight Multi-unit GH:3mm
42.302.016.04-2,,,42302016042,nase_kategorie,photo,MIS,Straight Multi-unit GH:4mm
42.302.019.01-2,,,42302019012,nase_kategorie,photo,MIS,Straight Multi-unit GH:1mm
42.302.033.01-2,,,42302033012,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:1mm
42.302.033.02-2,,,42302033022,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:2mm
42.302.033.03-2,,,42302033032,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:3mm
42.302.033.04-2,,,42302033042,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:4mm
42.302.040.02-2,,,42302040022,nase_kategorie,photo,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,Straight Multi-unit GH:2mm
42.302.040.03-2,,,42302040032,nase_kategorie,photo,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,Straight Multi-unit GH:3mm
42.302.040.04-2,,,42302040042,nase_kategorie,photo,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,Straight Multi-unit GH:4mm
42.303.010.02-2,,,42303010022,nase_kategorie,photo,BTI,Straight Multi-unit GH:2mm
42.303.035.01-2,,,42303035012,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:1mm
42.303.035.02-2,,,42303035022,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:2mm
42.303.035.03-2,,,42303035032,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:3mm
42.303.035.04-2,,,42303035042,nase_kategorie,photo,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Straight Multi-unit GH:4mm
42.303.041.01-2,,,42303041012,nase_kategorie,photo,ACE;BIOHORIZONS;IMPLANT DIRECT,Straight Multi-unit GH:1mm
42.303.111.01-2,,,42303111012,nase_kategorie,photo,BREDENT MEDICAL,Straight Multi-unit GH:1mm
42.303.111.04-2,,,42303111042,nase_kategorie,photo,BREDENT MEDICAL,Straight Multi-unit GH:4mm
42.303.186.01-2,,,42303186012,nase_kategorie,photo,NEODENT,Straight Multi-unit GH:1mm
42.303.186.02-2,,,42303186022,nase_kategorie,photo,NEODENT,Straight Multi-unit GH:2mm
42.303.186.03-2,,,42303186032,nase_kategorie,photo,NEODENT,Straight Multi-unit GH:3mm
42.303.186.04-2,,,42303186042,nase_kategorie,photo,NEODENT,Straight Multi-unit GH:4mm
43.601.103.01-2,,,43601103012,nase_kategorie,"price,photo",MEGAGEN,Straight GH:1.20mm
43.601.104.01-2,,,43601104012,nase_kategorie,price,XIVE;ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT;ACE;BEGO;LASAK,screwdriver Hex1.25
43.601.105.01-2,,,43601105012,nase_kategorie,"price,photo",DENTIUM,Straight GH:1.27mm
43.601.107.01-2,,,43601107012,nase_kategorie,price,DIO IMPLANTS;BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN;ACE;ANTHOGYR;BIOGENESIS;DENTIUM;GT MEDICAL;IMPLANT DIRECT;MEGAGEN;SOUTHERN IMPLANTS;NEOSS;EUROTEKNIKA;BREDENT MEDICAL;MEDENTIS,screwdriver Torx
43.620.411.01-2,,,43620411012,nase_kategorie,price,MIS;ACE;BIOHORIZONS;CORTEX;IMPLANTSWISS;JDENTALCARE;MEGAGEN;NEODENT;OSSTEM IMPLANT;ANTHOGYR;ANKYLOS;ZIMMER;ASTRA,"screwdriver Adaptor IO. MB, MD. L20mm"
43.621.415.01-2,,,43621415012,nase_kategorie,price,DENTIS;MEGAGEN;CAMLOG;ASTRA;BIOHORIZONS;CORTEX;SOUTHERN IMPLANTS;ALPHABIO;ANTHOGYR;NOBEL BIOCARE;STRAUMANN;LASAK;MEDENTIS,screwdriver Adaptor IO Tiny. L21mm
43.624.201.01-2,,,43624201012,nase_kategorie,price,BTK;MICRODENT;SOUTHERN IMPLANTS;ASTRA;CORTEX;EUROTEKNIKA;IMPLANTSWISS;UFIT;BIOGENESIS;GT MEDICAL;BTI;CAMLOG;DIO IMPLANTS;DENTIS;MEGAGEN;JDENTALCARE;MIS;ALFA-GATE;IMPLANT DIRECT;NOBEL BIOCARE;BIOHORIZONS;KLOCKNER;NEOBIOTECH;OSSTEM IMPLANT;ACE;ANTHOGYR;KEYSTONE;NEODENT;PHIBO;BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN;DENTIUM;XIVE;ALPHABIO;BIOTEC;NORIS MEDICAL;TRI DENTAL IMPLANTS;ZIMMER;NEOSS;BEGO;ANKYLOS;BREDENT MEDICAL;MEDENTIS;DENTAURUM;LASAK;SIC INVENT;P-I BRANEMARK;GC TECH;ROOTT,screwdriver Dynamic. L24mm 30º
43.625.108.01-2,,,43625108012,nase_kategorie,price,ALFA-GATE;IMPLANT DIRECT;NOBEL BIOCARE;JDENTALCARE;BIOGENESIS;BIOHORIZONS;DENTIS;GT MEDICAL;KLOCKNER;MEGAGEN;NEOBIOTECH;OSSTEM IMPLANT;ACE;ANTHOGYR;BTI;BTK;DIO IMPLANTS;EUROTEKNIKA;KEYSTONE;MICRODENT;MIS;NEODENT;PHIBO;SOUTHERN IMPLANTS;CORTEX;IMPLANTSWISS;ASTRA,screwdriver Unigrip L25mm
43.632.201.01-2,,,43632201012,nase_kategorie,price,BTK;MICRODENT;SOUTHERN IMPLANTS;ASTRA;CORTEX;EUROTEKNIKA;IMPLANTSWISS;UFIT;BIOGENESIS;GT MEDICAL;BTI;CAMLOG;DIO IMPLANTS;DENTIS;MEGAGEN;JDENTALCARE;MIS;ALFA-GATE;IMPLANT DIRECT;NOBEL BIOCARE;BIOHORIZONS;KLOCKNER;NEOBIOTECH;OSSTEM IMPLANT;ACE;ANTHOGYR;KEYSTONE;NEODENT;PHIBO;BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN;DENTIUM;XIVE;ALPHABIO;BIOTEC;NORIS MEDICAL;TRI DENTAL IMPLANTS;ZIMMER;NEOSS;BEGO;ANKYLOS;BREDENT MEDICAL;MEDENTIS;DENTAURUM;LASAK;SIC INVENT;P-I BRANEMARK;GC TECH;ROOTT,screwdriver Dynamic. L32mm 30º
48.312.007.03-2,,,48312007032,nase_kategorie,photo,ASTRA,Straight Multi-unit GH:4.5mm GH:5.9mm
48.312.161.05-2,,,48312161052,nase_kategorie,photo,ANTHOGYR,Straight Multi-unit GH:3mm GH:4.4mm
48.612.021.03-2,,,48612021032,nase_kategorie,"price,photo",ALFA-GATE;IMPLANT DIRECT;NOBEL BIOCARE,"DAS Multi-Unit 28º, G3.5/5.4, Comp.0021 20N·cm"
48.612.021.04-2,,,48612021042,nase_kategorie,"price,photo",ALFA-GATE;IMPLANT DIRECT;NOBEL BIOCARE,"DAS Multi-Unit 28º, G4.5/6.4, Comp.0021 20N·cm"
48.612.022.03-2,,,48612022032,nase_kategorie,"price,photo",ALFA-GATE;IMPLANT DIRECT;JDENTALCARE;NOBEL BIOCARE,Straight Multi-unit GH:1.5mm GH:2.9mm GH:3.5mm
48.612.022.04-2,,,48612022042,nase_kategorie,"price,photo",ALFA-GATE;IMPLANT DIRECT;JDENTALCARE;NOBEL BIOCARE,Straight Multi-unit GH:2.5mm GH:3.9mm GH:4.5mm
50.313.007.03-2,,,50313007032,nase_kategorie,photo,ASTRA,Screwdriver 50.313.007.03-2
50.313.022.01-2,,,50313022012,nase_kategorie,photo,ALFA-GATE;IMPLANT DIRECT;JDENTALCARE;NOBEL BIOCARE,Adaptor IO HA. Comp.0022. 5N·cm
53.413.025.01-2,,,53413025012,nase_kategorie,price,ACE;BIOHORIZONS;CORTEX;IMPLANTSWISS;JDENTALCARE;MEGAGEN;NEODENT;OSSTEM IMPLANT;ASTRA,Mini Scanbody (Unigrip). Comp.0025. 5N·cm
53.413.101.01-2,,,53413101012,nase_kategorie,"price,photo",STRAUMANN,Lab Mini 53.413.101.01-2
53.413.264.01-2,,,53413264012,nase_kategorie,"price,photo",MEGAGEN,Scanbody 53.413.264.01-2
54.315.005.21-2,,,54315005212,nase_kategorie,photo,ASTRA;BIOGENESIS;CORTEX;GT MEDICAL;SOUTHERN IMPLANTS;UFIT,Scanbody Op 54.315.005.21-2
54.315.047.21-2,,,54315047212,nase_kategorie,photo,NEOSS,"Scanbody OP NR H10 (Hex1.20). Comp.0047, 0048. 5N·cm"
54.322.074.31-2,,,54322074312,nase_kategorie,photo,ANTHOGYR;DENTIUM;DIO IMPLANTS;EUROTEKNIKA;GT MEDICAL;IMPLANT DIRECT;MEGAGEN;STRAUMANN,Scanbody Reference 54.322.074.31-2
54.322.205.21-2,,,54322205212,nase_kategorie,photo,ZIMMER,Scanbody Reference 54.322.205.21-2
61.303.024.03-2,,,61303024032,nase_kategorie,"price,photo",ACE;ANTHOGYR;BIOGENESIS;BTI;BTK;DENTIS;DIO IMPLANTS;EUROTEKNIKA;GT MEDICAL;KEYSTONE;KLOCKNER;MEGAGEN;MICRODENT;MIS;NEODENT;NOBEL BIOCARE;OSSTEM IMPLANT;PHIBO;SOUTHERN IMPLANTS,Multi-unit GH:2mm GH:3mm
62.300.178.04-2,,,62300178042,nase_kategorie,price,P-I BRANEMARK;ZIMMER,Internal Multi-unit GH:4mm
62.302.021.02-2,,,62302021022,nase_kategorie,"price,photo",ALFA-GATE;IMPLANT DIRECT;NOBEL BIOCARE,Internal Multi-unit GH:2mm
62.302.021.03-2,,,62302021032,nase_kategorie,"price,photo",ALFA-GATE;IMPLANT DIRECT;NOBEL BIOCARE,Internal Multi-unit GH:3mm
62.302.021.04-2,,,62302021042,nase_kategorie,price,ALFA-GATE;IMPLANT DIRECT;NOBEL BIOCARE,Internal DAS Multi-Unit G4 Comp.0021 30N·cm
62.302.029.02-2,,,62302029022,nase_kategorie,"price,photo",BIOCONCEPT;BTK;NEOBIOTECH;OSSTEM IMPLANT,Internal Multi-unit GH:2mm
62.302.029.04-2,,,62302029042,nase_kategorie,price,BIOCONCEPT;BTK;NEOBIOTECH;OSSTEM IMPLANT,Internal DAS Multi-Unit G4 Comp.0029 30N·cm
62.302.033.04-2,,,62302033042,nase_kategorie,price,BIOCONCEPT;IHDE DENTAL (IMBIODENT);STRAUMANN,Internal DAS Multi-Unit G4 Comp.0033 30N·cm
62.302.040.04-2,,,62302040042,nase_kategorie,price,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,Internal DAS Multi-Unit G4 Comp.0040 30N·cm
62.302.169.03-2,,,62302169032,nase_kategorie,"price,photo",ALPHABIO,Internal Multi-unit GH:3mm
62.302.169.04-2,,,62302169042,nase_kategorie,"price,photo",ALPHABIO,Internal Multi-unit GH:4mm
62.303.015.02-2,,,62303015022,nase_kategorie,photo,JDENTALCARE;MEGAGEN,Internal Multi-unit GH:2mm
62.303.015.03-2,,,62303015032,nase_kategorie,photo,JDENTALCARE;MEGAGEN,Internal Multi-unit GH:3mm
62.303.015.04-2,,,62303015042,nase_kategorie,photo,JDENTALCARE;MEGAGEN,Internal Multi-unit GH:4mm
62.303.022.02-2,,,62303022022,nase_kategorie,photo,ALFA-GATE;IMPLANT DIRECT;JDENTALCARE;NOBEL BIOCARE,Internal Multi-unit GH:2mm
62.303.022.03-2,,,62303022032,nase_kategorie,photo,ALFA-GATE;IMPLANT DIRECT;JDENTALCARE;NOBEL BIOCARE,Internal Multi-unit GH:3mm
62.303.022.04-2,,,62303022042,nase_kategorie,photo,ALFA-GATE;IMPLANT DIRECT;JDENTALCARE;NOBEL BIOCARE,Internal Multi-unit GH:4mm
22.612.001.01-2,,,22612001012,zvysne_produkty,category,BIOMET 3L,Analog Comp.0001
22.613.002.01-2,,,22613002012,zvysne_produkty,category,BIOMET 3L,Analog Comp.0002
22.614.057.01-2,,,22614057012,zvysne_produkty,category,BIOMET 3L,Analog Comp.0057
23.412.001.01-2,,,23412001012,zvysne_produkty,category,BIOMET 3L,ScAnalog Comp.0001
23.412.181.01-2,,,23412181012,zvysne_produkty,category,PALTOP;SURCAM DENTAL,ScAnalog Comp.0181
23.413.002.01-2,,,23413002012,zvysne_produkty,category,BIOMET 3L,ScAnalog Comp.0002
31.310.176.01-2,,,31310176012,zvysne_produkty,category,EASY IMPLANT,Dynamic TiBase NR XNP G0.5 Comp.0176
31.310.188.01-2,,,31310188012,zvysne_produkty,category,ADIN,Dynamic TiBase NR XNP G1.5 Comp.0188
31.310.229.01-2,,,31310229012,zvysne_produkty,category,PALTOP,Dynamic TiBase NR XNP G0.5 Comp.0229
31.310.266.01-2,,,31310266012,zvysne_produkty,category,TBR,Dynamic TiBase NR XNP G0.5 Comp.0266
31.310.266.04-2,,,31310266042,zvysne_produkty,category,TBR,Dynamic TiBase NR XNP G2 Comp.0266
31.312.001.01-2,,,31312001012,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase NR G0.3 Comp.0001
31.312.001.02-2,,,31312001022,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase NR G1.2 Comp.0001
31.312.001.03-2,,,31312001032,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase NR G2 Comp.0001
31.312.001.04-2,,,31312001042,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase NR G3 Comp.0001
31.312.001.21-2,,,31312001212,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase NR G0.3 HC9 Comp.0001
31.312.001.23-2,,,31312001232,zvysne_produkty,"category,photo",BIOMET 3L,Dynamic 3tibase αS(CH=5mm):25º αS(CH=7mm):20º αS(CH=9mm):10º GH:2mm
31.312.246.01-2,,,31312246012,zvysne_produkty,category,TECH,Dynamic TiBase NR G1 Comp.0246
31.312.246.02-2,,,31312246022,zvysne_produkty,category,TECH,Dynamic TiBase NR G2 Comp.0246
31.312.265.03-2,,,31312265032,zvysne_produkty,category,ALPHA-DENT;ANCLADEN;PROTEG IMPLANTS,Dynamic TiBase NR G1.5 Comp.0265
31.312.265.04-2,,,31312265042,zvysne_produkty,category,ALPHA-DENT;ANCLADEN;PROTEG IMPLANTS,Dynamic TiBase NR G2 Comp.0265
31.312.267.01-2,,,31312267012,zvysne_produkty,category,TBR,Dynamic TiBase NR G0.5 Comp.0267
31.313.002.01-2,,,31313002012,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase NR G0.3 Comp.0002
31.313.002.02-2,,,31313002022,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase NR G1.2 Comp.0002
31.313.002.21-2,,,31313002212,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase NR G0.3 HC9 Comp.0002
31.313.268.01-2,,,31313268012,zvysne_produkty,category,TBR,Dynamic TiBase NR G0.5 Comp.0268
31.314.057.01-2,,,31314057012,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase NR G0.5 Comp.0057
31.320.188.01-2,,,31320188012,zvysne_produkty,category,ADIN,Dynamic TiBase R XNP G1.5 Comp.0188
31.320.229.01-2,,,31320229012,zvysne_produkty,category,PALTOP,Dynamic TiBase R XNP G0.5 Comp.0229
31.320.266.01-2,,,31320266012,zvysne_produkty,category,TBR,Dynamic TiBase R XNP G0.5 Comp.0266
31.320.266.04-2,,,31320266042,zvysne_produkty,category,TBR,Dynamic TiBase R XNP G2 Comp.0266
31.322.001.01-2,,,31322001012,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase R G0.3 Comp.0001
31.322.001.02-2,,,31322001022,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase R G1.2 Comp.0001
31.322.001.03-2,,,31322001032,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase R G2 Comp.0001
31.322.001.04-2,,,31322001042,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase R G3 Comp.0001
31.322.001.21-2,,,31322001212,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase R G0.3 HC9 Comp.0001
31.322.181.01-2,,,31322181012,zvysne_produkty,category,PALTOP;SURCAM DENTAL,Standard Dynamic Tibase αS:45º GH:0.4mm
31.322.181.21-2,,,31322181212,zvysne_produkty,category,PALTOP;SURCAM DENTAL,Dynamic TiBase R G0.4 HC9 Comp.0181
31.322.246.01-2,,,31322246012,zvysne_produkty,category,TECH,Dynamic TiBase R G1 Comp.0246
31.322.246.02-2,,,31322246022,zvysne_produkty,category,TECH,Dynamic TiBase R G2 Comp.0246
31.322.265.03-2,,,31322265032,zvysne_produkty,category,ALPHA-DENT;ANCLADEN;PROTEG IMPLANTS,Dynamic TiBase R G1.5 Comp.0265
31.322.265.04-2,,,31322265042,zvysne_produkty,category,ALPHA-DENT;ANCLADEN;PROTEG IMPLANTS,Dynamic TiBase R G2 Comp.0265
31.322.267.01-2,,,31322267012,zvysne_produkty,category,TBR,Dynamic TiBase R G0.5 Comp.0267
31.323.002.01-2,,,31323002012,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase R G0.3 Comp.0002
31.323.002.02-2,,,31323002022,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase R G1.2 Comp.0002
31.323.002.21-2,,,31323002212,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase R G0.3 HC9 Comp.0002
31.323.242.01-2,,,31323242012,zvysne_produkty,category,OXY,Dynamic TiBase R G0.5 Comp.0242
31.323.245.01-2,,,31323245012,zvysne_produkty,category,TECH,Dynamic TiBase R G0.6 Comp.0245
31.323.268.01-2,,,31323268012,zvysne_produkty,category,TBR,Dynamic TiBase R G0.5 Comp.0268
31.324.057.01-2,,,31324057012,zvysne_produkty,category,BIOMET 3L,Dynamic TiBase R G0.5 Comp.0057
34.610.176.01-2,,,34610176012,zvysne_produkty,category,EASY IMPLANT,Digital analog. Comp.0176
34.612.001.01-2,,,34612001012,zvysne_produkty,category,BIOMET 3L,Digital analog. Comp.0001
34.612.181.01-2,,,34612181012,zvysne_produkty,"category,photo",PALTOP;SURCAM DENTAL,Digital analog. Comp. 0181
34.613.002.01-2,,,34613002012,zvysne_produkty,category,BIOMET 3L,Digital analog. Comp.0002
34.613.242.01-2,,,34613242012,zvysne_produkty,"category,photo",OXY,Scanbody H:3mm
40.318.007.01-2,,,40318007012,zvysne_produkty,category,TBR,Screw Torx T6 M1.8 L9.1mm 25N·cm
41.314.044.01-2,,,41314044012,zvysne_produkty,category,EASY IMPLANT;TBR,Dynamic Screw M1.4 L4.4mm 15N·cm
41.315.078.01-2,,,41315078012,zvysne_produkty,category,ADIN;TBR,Dynamic Screw UNF0-80 L7.8mm 15N·cm
41.316.064.01-2,,,41316064012,zvysne_produkty,category,PALTOP;TBR,Dynamic Screw M1.6 L6.4mm 20N·cm
41.316.084.01-2,,,41316084012,zvysne_produkty,category,BIOMET 3L;GMI (ILESIMPLANT);TBR,Dynamic Screw M1.6 L8.4mm 20N·cm
41.318.043.01-2,,,41318043012,zvysne_produkty,category,PALTOP;SURCAM DENTAL;TBR,Dynamic Screw M1.8 L4.3mm 25N·cm
41.318.055.01-2,,,41318055012,zvysne_produkty,category,OXY,Dynamic Screw M1.8 L5.5mm 25N·cm
41.318.079.01-2,,,41318079012,zvysne_produkty,category,ALPHA-DENT;ANCLADEN;PROTEG IMPLANTS;TBR,Dynamic Screw M1.8 L7.9mm 25N·cm
41.318.080.01-2,,,41318080012,zvysne_produkty,category,TECH;TBR,Dynamic GH:24mm
41.320.068.01-2,,,41320068012,zvysne_produkty,category,TBR,Dynamic Screw M2 L6.8mm 25N·cm
42.302.001.01-2,,,42302001012,zvysne_produkty,category,BIOMET 3L,DAS Multi-Unit straight G1 Comp.0001 30N·cm
42.302.001.02-2,,,42302001022,zvysne_produkty,category,BIOMET 3L,DAS Multi-Unit straight G2 Comp.0001 30N·cm
42.302.001.03-2,,,42302001032,zvysne_produkty,category,BIOMET 3L,DAS Multi-Unit straight G3 Comp.0001 30N·cm
42.302.001.04-2,,,42302001042,zvysne_produkty,category,BIOMET 3L,DAS Multi-Unit straight G4 Comp.0001 30N·cm
