ref_number,,,reference_num,section,missing,categories,name
42.303.002.01-2,,,42303002012,zvysne_produkty,category,BIOMET 3L,DAS Multi-Unit straight G1 Comp.0002 30N·cm
42.303.002.02-2,,,42303002022,zvysne_produkty,category,BIOMET 3L,DAS Multi-Unit straight G2 Comp.0002 30N·cm
42.303.002.03-2,,,42303002032,zvysne_produkty,category,BIOMET 3L,DAS Multi-Unit straight G3 Comp.0002 30N·cm
42.303.002.04-2,,,42303002042,zvysne_produkty,category,BIOMET 3L,DAS Multi-Unit straight G4 Comp.0002 30N·cm
42.303.243.02-2,,,42303243022,zvysne_produkty,category,GMI (ILESIMPLANT),DAS Multi-Unit straight G2 Comp.0243 30N·cm
42.303.243.03-2,,,42303243032,zvysne_produkty,category,GMI (ILESIMPLANT),DAS Multi-Unit straight G3 Comp.0243 30N·cm
50.310.176.01-2,,,50310176012,zvysne_produkty,category,EASY IMPLANT,Adaptor IO Tiny HU. Comp.0176. 5N·cm
50.312.001.01-2,,,50312001012,zvysne_produkty,category,BIOMET 3L,Adaptor IO HC. Comp.0001. 5N·cm
50.312.001.04-2,,,50312001042,zvysne_produkty,category,BIOMET 3L,Adaptor IO G3 HC. Comp.0001. 5N·cm
50.312.181.01-2,,,50312181012,zvysne_produkty,category,PALTOP;SURCAM DENTAL,Adaptor IO MB. Comp.0181. 5N·cm
50.313.002.01-2,,,50313002012,zvysne_produkty,category,BIOMET 3L,Adaptor IO HA. Comp.0002. 5N·cm
50.314.057.01-2,,,50314057012,zvysne_produkty,category,BIOMET 3L,Adaptor IO HA. Comp.0057. 5N·cm
52.408.138.01-2,,,52408138012,zvysne_produkty,category,EASY IMPLANT,Scanbody IO HU H8mm
54.315.001.21-2,,,54315001212,zvysne_produkty,category,BIOMET 3L,Scanbody OP NR H10 (Hex. 1.20). Comp.0001. 5N·cm
54.315.002.21-2,,,54315002212,zvysne_produkty,category,BIOMET 3L,Scanbody OP NR H10 (Hex. 1.20). Comp.0002. 5N·cm
54.322.181.31-2,,,54322181312,zvysne_produkty,"category,photo",PALTOP;SURCAM DENTAL,Scanbody Reference 54.322.181.31-2
54.322.242.31-2,,,54322242312,zvysne_produkty,category,OXY,Reference Scanbody R H7 (Hex1.25). Comp.0242. 5N·cm
