compatibility_code,section,reference,reference_prefix,reference_group,reference_family,reference_option,reference_variant,options,source_line
0035,DYNAMIC,43.632.201.01-2,43,632,201,01,2,32,32                     43.632.201.01-2
0035,STRAIGHT,40.316.007.01-2,40,316,007,01,2,,40.316.007.01-2                            TORX T6                          43.601.107.01-2
0035,STRAIGHT,43.601.107.01-2,43,601,107,01,2,,40.316.007.01-2                            TORX T6                          43.601.107.01-2
0035,STRAIGHT MULTI-UNIT,42.303.035.01-2,42,303,035,01,2,1,1                   42.303.035.01-2
0035,STRAIGHT MULTI-UNIT,42.303.035.02-2,42,303,035,02,2,2,2                   42.303.035.02-2
0035,STRAIGHT MULTI-UNIT,42.303.035.03-2,42,303,035,03,2,3,3                   42.303.035.03-2
0035,STRAIGHT MULTI-UNIT,42.303.035.04-2,42,303,035,04,2,4,4                    42.303.035.04-2
0035,STRAIGHT MULTI-UNIT,48.312.035.02-2,48,312,035,02,2,"2,5|3,9","2,5/3,9                48.312.035.02-2"
0035,STRAIGHT MULTI-UNIT,48.312.035.03-2,48,312,035,03,2,"3,5|4,9","3,5/4,9                48.312.035.03-2"
0037,STANDARD DYNAMIC TIBASE,31.323.037.01-2,31,323,037,01,2,"45º|25º|0,6","0,6                        45º                           25º                        31.323.037.01-2                               31.313.037.01-2"
0037,STANDARD DYNAMIC TIBASE,31.313.037.01-2,31,313,037,01,2,"45º|25º|0,6","0,6                        45º                           25º                        31.323.037.01-2                               31.313.037.01-2"
0037,STANDARD DYNAMIC TIBASE,31.323.037.21-2,31,323,037,21,2,"30º|25º|15º|0,6","0,6                       30º                            25º                            15º                    31.323.037.21-2                                 31.313.037.21-2"
0037,STANDARD DYNAMIC TIBASE,31.313.037.21-2,31,313,037,21,2,"30º|25º|15º|0,6","0,6                       30º                            25º                            15º                    31.323.037.21-2                                 31.313.037.21-2"
0037,SCREWDRIVER,52.408.110.01-2,52,408,110,01,2,8,8                     52.408.110.01-2
0037,SCREWDRIVER,50.313.037.04-2,50,313,037,04,2,,50.313.037.04-2                                   43.621.410.01-2
0037,SCREWDRIVER,43.621.410.01-2,43,621,410,01,2,,50.313.037.04-2                                   43.621.410.01-2
0037,SCREWDRIVER,52.410.110.01-2,52,410,110,01,2,10,10                     52.410.110.01-2
0037,SCREWDRIVER,43.624.410.01-2,43,624,410,01,2,,(IG=3mm)                              43.624.410.01-2
0037,SCREWDRIVER,52.412.110.01-2,52,412,110,01,2,12,12                     52.412.110.01-2
0037,SCANBODY                                       SCANALOG,30.413.004.01-2,30,413,004,01,2,,30.413.004.01-2                               23.413.037.01-2
0037,SCANBODY                                       SCANALOG,23.413.037.01-2,23,413,037,01,2,,30.413.004.01-2                               23.413.037.01-2
0037,SCANBODY                                       SCANALOG,33.315.708.01-2,33,315,708,01,2,3,3                                                 33.315.708.01-2                                             22.613.037.01-2                                 34.613.037.01-2
0037,SCANBODY                                       SCANALOG,22.613.037.01-2,22,613,037,01,2,3,3                                                 33.315.708.01-2                                             22.613.037.01-2                                 34.613.037.01-2
0037,SCANBODY                                       SCANALOG,34.613.037.01-2,34,613,037,01,2,3,3                                                 33.315.708.01-2                                             22.613.037.01-2                                 34.613.037.01-2
0037,SCANBODY                                       SCANALOG,33.415.708.01-2,33,415,708,01,2,30º|4,4                       30º                       33.415.708.01-2
0037,SCANBODY                                       SCANALOG,33.615.708.01-2,33,615,708,01,2,6,6                                                 33.615.708.01-2
0037,SCANBODY OP,49.414.000.01-2,49,414,000,01,2,A|6,49.414.000.01-2                                        6                         A
0037,SCANBODY OP,49.415.000.01-2,49,415,000,01,2,A|9,49.415.000.01-2                                        9                         A
0037,SCANBODY OP,49.416.000.01-2,49,416,000,01,2,A|13,49.416.000.01-2                                        13                         A
0037,SCANBODY OP,49.414.000.02-2,49,414,000,02,2,B|6,49.414.000.02-2                                         6                         B
0037,SCANBODY OP,49.415.000.02-2,49,415,000,02,2,B|9,49.415.000.02-2                                         9                         B
0037,SCANBODY OP,49.416.000.02-2,49,416,000,02,2,B|13,49.416.000.02-2                                        13                         B
0037,SCANBODY OP,54.315.037.21-2,54,315,037,21,2,,54.315.037.21-2                                                                                                                                    43.601.107.01-2
