reference,reference_num,name,ean13
50.314.058.01-2,50314058012,Adaptor IO HJ. Comp.0058. 5N·cm,843567350389
50.312.032.01-2,50312032012,Adaptor IO HK. Comp.0032. 5N·cm,843567350104
50.313.065.01-2,50313065012,Adaptor IO HL. Comp.0065. 5N·cm,843567350140
50.314.060.01-2,50314060012,Adaptor IO HM. Comp.0060. 5N·cm,843567350262
50.312.047.01-2,50312047012,"Adaptor IO HN. Comp.0047, 0048. 5N·cm",843567350064
50.313.151.01-2,50313151012,Adaptor IO HN. Comp.0151. 5N·cm,843567350266
50.314.080.01-2,50314080012,Adaptor IO HO. Comp.0080. 5N·cm,843567350280
50.314.046.01-2,50314046012,Adaptor IO HP. Comp.0046. 5N·cm,843567350012
50.314.061.01-2,50314061012,Adaptor IO HP. Comp.0061. 5N·cm,843567350284
50.314.124.01-2,50314124012,Adaptor IO HP. Comp.0124. 5N·cm,843567350319
50.315.081.01-2,50315081012,Adaptor IO HR. Comp.0081.5N·cm,843567350355
50.315.092.01-2,50315092012,Adaptor IO HT. Comp.0092. 5N·cm,843567350183
50.313.025.01-2,50313025012,Adaptor IO MA. Comp.0025. 5N·cm,843656873399
50.313.020.01-2,50313020012,Adaptor IO MB. Comp.0020. 5N·cm,843567350145
50.313.025.02-2,50313025022,Adaptor IO MB. Comp.0025. 5N·cm,843656873355
50.313.163.01-2,50313163012,Adaptor IO MB. Comp.0163. 5N·cm,843656873557
50.312.181.01-2,50312181012,Adaptor IO MB. Comp.0181. 5N·cm,843567350164
50.312.205.01-2,50312205012,Adaptor IO MB. Comp.0205. 5N·cm,843656873490
50.312.183.01-2,50312183012,Adaptor IO MD. Comp.0183. 5N·cm,843656873436
50.313.074.01-2,50313074012,Adaptor IO OA. Comp.0074. 5N·cm,843567350168
50.314.054.01-2,50314054012,Adaptor IO OB. Comp.0054. 5N·cm,843567350198
50.312.130.01-2,50312130012,Adaptor IO PA. Comp.0130. 5N·cm,
50.313.131.01-2,50313131012,Adaptor IO PA. Comp.0131. 5N·cm,
50.314.132.01-2,50314132012,Adaptor IO PA. Comp.0132. 5N·cm,
50.312.016.01-2,50312016012,Adaptor IO SA. Comp.0016. 5N·cm,843567350127
50.313.035.01-2,50313035012,Adaptor IO SB. Comp.0035. 5N·cm,843656873287
50.313.010.01-2,50313010012,Adaptor IO SC. Comp.0010. 5N·cm,843567350103
50.312.011.01-2,50312011012,Adaptor IO TA. Comp.0011. 5N·cm,843567350109
50.312.120.01-2,50312120012,Adaptor IO TA. Comp.0120. 5N·cm,
50.313.012.01-2,50313012012,Adaptor IO TB. Comp.0012. 5N·cm,843567350121
50.313.027.01-2,50313027012,Adaptor IO TB. Comp.0027. 5N·cm,843567350150
50.314.028.01-2,50314028012,Adaptor IO TB. Comp.0028. 5N·cm,843567350156
50.313.121.01-2,50313121012,Adaptor IO TB. Comp.0121. 5N·cm,843567350023
50.315.129.01-2,50315129012,Adaptor IO TC. Comp.0129. 5N·cm,843656873575
50.312.014.03-2,50312014032,Adaptor IO Tiny G3 HS. Comp.0014. 5N·cm,843567350204
50.311.090.03-2,50311090032,Adaptor IO Tiny G3 HS. Comp.0090. 5N·cm,843567350615
50.312.102.03-2,50312102032,Adaptor IO Tiny G3 HS. Comp.0102. 5N·cm,843656873499
50.310.136.04-2,50310136042,Adaptor IO Tiny G3 HS. Comp.0136. 5N·cm,843567350223
50.310.145.03-2,50310145032,Adaptor IO Tiny G3 HS. Comp.0145. 5N·cm,
50.310.166.03-2,50310166032,Adaptor IO Tiny G3 HS. Comp.0166. 5N·cm,843567350327
50.310.249.03-2,50310249032,Adaptor IO Tiny G3 HS. Comp.0249. 5N·cm,843567350537
50.311.087.04-2,50311087042,Adaptor IO Tiny G3 TD. Comp.0087. 5N·cm,843567350686
50.311.119.03-2,50311119032,Adaptor IO Tiny G3 TD. Comp.0119. 5N·cm,843656873973
50.311.090.01-2,50311090012,Adaptor IO Tiny HS. Comp.0090. 5N·cm,843567350153
50.312.109.01-2,50312109012,Adaptor IO Tiny HS. Comp.0109. 5N·cm,843567350165
50.310.136.01-2,50310136012,Adaptor IO Tiny HS. Comp.0136. 5N·cm,843567350406
50.310.159.01-2,50310159012,Adaptor IO Tiny HS. Comp.0159. 5N·cm,843567350171
50.310.164.01-2,50310164012,Adaptor IO Tiny HS. Comp.0164. 5N·cm,843567350409
50.310.176.01-2,50310176012,Adaptor IO Tiny HU. Comp.0176. 5N·cm,843567350540
50.310.160.01-2,50310160012,Adaptor IO Tiny SD. Comp.0160. 5N·cm,843567350189
50.310.161.01-2,50310161012,"Adaptor IO Tiny TD. Comp.0149, 0161, 0162. 5N·cm",843567350008
50.313.165.01-2,50313165012,Adaptor IO Tiny TD. Comp.0165. 5N·cm,843567350010
49.418.000.01-2,49418000012,"CAPS 3,8mm S",843567351108
49.418.000.02-2,49418000022,"CAPS 3,8mm W",843567351111
49.419.000.01-2,49419000012,CAPS 6mm S,843567351109
49.419.000.02-2,49419000022,CAPS 6mm W,843567351112
49.420.000.01-2,49420000012,CAPS 8mm S,843567351110
49.420.000.02-2,49420000022,CAPS 8mm W,843567351113
11.990.990.07-2,11990990072,Torque Wrench (CCUNI),843656873515
61.303.004.01-2,61303004012,DAS MU4.0 straight G1 Comp.0004 30N·cm,843567351499
61.303.015.01-2,61303015012,DAS MU4.0 straight G1 Comp.0015 30N·cm,843567351425
61.302.021.01-2,61302021012,DAS MU4.0 straight G1 Comp.0021 30N·cm,843567351484
61.303.022.01-2,61303022012,DAS MU4.0 straight G1 Comp.0022 30N·cm,843567351488
61.302.033.01-2,61302033012,DAS MU4.0 straight G1 Comp.0033 30N·cm,843567351421
61.303.035.01-2,61303035012,DAS MU4.0 straight G1 Comp.0035 30N·cm,843567351503
61.302.040.01-2,61302040012,DAS MU4.0 straight G1 Comp.0040 30N·cm,843567351466
61.302.082.01-2,61302082012,DAS MU4.0 straight G1 Comp.0082 30N·cm,843567351480
61.303.083.01-2,61303083012,DAS MU4.0 straight G1 Comp.0083 30N·cm,843567351470
61.303.121.01-2,61303121012,"DAS MU4.0 straight G1 Comp.0120, 0121 30N·cm",843567351474
61.302.169.01-2,61302169012,DAS MU4.0 straight G1 Comp.0169 30N·cm,843567351408
61.303.186.01-2,61303186012,DAS MU4.0 straight G1 Comp.0186 30N·cm,843567351412
61.302.207.01-2,61302207012,"DAS MU4.0 straight G1 Comp.0207,0208,0260,0261,0262 30N·cm",843567351417
61.303.004.02-2,61303004022,DAS MU4.0 straight G2 Comp.0004 30N·cm,843567351500
61.303.015.02-2,61303015022,DAS MU4.0 straight G2 Comp.0015 30N·cm,843567351426
61.302.021.02-2,61302021022,DAS MU4.0 straight G2 Comp.0021 30N·cm,843567351485
61.303.022.02-2,61303022022,DAS MU4.0 straight G2 Comp.0022 30N·cm,843567351489
61.302.033.02-2,61302033022,DAS MU4.0 straight G2 Comp.0033 30N·cm,843567351422
61.303.035.02-2,61303035022,DAS MU4.0 straight G2 Comp.0035 30N·cm,843567351504
61.302.040.02-2,61302040022,DAS MU4.0 straight G2 Comp.0040 30N·cm,843567351467
61.302.082.02-2,61302082022,DAS MU4.0 straight G2 Comp.0082 30N·cm,843567351481
61.303.083.02-2,61303083022,DAS MU4.0 straight G2 Comp.0083 30N·cm,843567351471
61.303.121.02-2,61303121022,"DAS MU4.0 straight G2 Comp.0120, 0121 30N·cm",843567351475
61.302.169.02-2,61302169022,DAS MU4.0 straight G2 Comp.0169 30N·cm,843567351409
61.303.186.02-2,61303186022,DAS MU4.0 straight G2 Comp.0186 30N·cm,843567351413
61.302.207.02-2,61302207022,"DAS MU4.0 straight G2 Comp.0207,0208,0260,0261,0262 30N·cm",843567351418
61.303.004.03-2,61303004032,DAS MU4.0 straight G3 Comp.0004 30N·cm,843567351501
61.303.015.03-2,61303015032,DAS MU4.0 straight G3 Comp.0015 30N·cm,843567351427
61.302.021.03-2,61302021032,DAS MU4.0 straight G3 Comp.0021 30N·cm,843567351486
61.303.022.03-2,61303022032,DAS MU4.0 straight G3 Comp.0022 30N·cm,843567351490
61.302.033.03-2,61302033032,DAS MU4.0 straight G3 Comp.0033 30N·cm,843567351423
61.303.035.03-2,61303035032,DAS MU4.0 straight G3 Comp.0035 30N·cm,843567351505
61.302.040.03-2,61302040032,DAS MU4.0 straight G3 Comp.0040 30N·cm,843567351468
61.302.082.03-2,61302082032,DAS MU4.0 straight G3 Comp.0082 30N·cm,843567351482
61.303.083.03-2,61303083032,DAS MU4.0 straight G3 Comp.0083 30N·cm,843567351472
61.303.121.03-2,61303121032,"DAS MU4.0 straight G3 Comp.0120, 0121 30N·cm",843567351476
