reference,reference_num,name,ean13
42.302.016.03-2,42302016032,Straight Multi-unit GH:3mm,
42.302.016.04-2,42302016042,Straight Multi-unit GH:4mm,
42.302.019.01-2,42302019012,Straight Multi-unit GH:1mm,
42.302.033.01-2,42302033012,Straight Multi-unit GH:1mm,
42.302.033.02-2,42302033022,Straight Multi-unit GH:2mm,
42.302.033.03-2,42302033032,Straight Multi-unit GH:3mm,
42.302.033.04-2,42302033042,Straight Multi-unit GH:4mm,
42.302.040.02-2,42302040022,Straight Multi-unit GH:2mm,
42.302.040.03-2,42302040032,Straight Multi-unit GH:3mm,
42.302.040.04-2,42302040042,Straight Multi-unit GH:4mm,
42.303.010.02-2,42303010022,Straight Multi-unit GH:2mm,
42.303.030.05-2,42303030052,Straight Multi-unit GH:5mm,
42.303.035.01-2,42303035012,Straight Multi-unit GH:1mm,
42.303.035.02-2,42303035022,Straight Multi-unit GH:2mm,
42.303.035.03-2,42303035032,Straight Multi-unit GH:3mm,
42.303.035.04-2,42303035042,Straight Multi-unit GH:4mm,
42.303.041.01-2,42303041012,Straight Multi-unit GH:1mm,
42.303.111.01-2,42303111012,Straight Multi-unit GH:1mm,
42.303.111.04-2,42303111042,Straight Multi-unit GH:4mm,
42.303.186.01-2,42303186012,Straight Multi-unit GH:1mm,
42.303.186.02-2,42303186022,Straight Multi-unit GH:2mm,
42.303.186.03-2,42303186032,Straight Multi-unit GH:3mm,
42.303.186.04-2,42303186042,Straight Multi-unit GH:4mm,
43.601.102.01-2,43601102012,Straricht Screws Technical Specifications 43.601.102.01-2,
43.601.103.01-2,43601103012,Straight GH:1.20mm,
43.601.105.01-2,43601105012,Straight GH:1.27mm,
48.312.007.03-2,48312007032,Straight Multi-unit GH:4.5mm GH:5.9mm,
48.312.030.04-2,48312030042,Straight Multi-unit GH:4.5mm GH:5.9mm,
48.312.161.05-2,48312161052,Straight Multi-unit GH:3mm GH:4.4mm,
48.612.022.03-2,48612022032,Straight Multi-unit GH:1.5mm GH:2.9mm GH:3.5mm,
48.612.022.04-2,48612022042,Straight Multi-unit GH:2.5mm GH:3.9mm GH:4.5mm,
49.604.000.09-2,49604000092,Complements 49.604.000.09-2,
50.311.049.01-2,50311049012,Screwdriver 50.311.049.01-2,
50.313.007.03-2,50313007032,Screwdriver 50.313.007.03-2,
50.313.041.01-2,50313041012,Screwdriver 50.313.041.01-2,
52.408.101.01-2,52408101012,Screwdriver L:8mm,
52.412.104.01-2,52412104012,Dynamic Scanbody (lab/clin) H:12mm,
53.413.101.01-2,53413101012,Lab Mini 53.413.101.01-2,
53.413.264.01-2,53413264012,Scanbody 53.413.264.01-2,
54.315.005.21-2,54315005212,Scanbody Op 54.315.005.21-2,
54.315.029.21-2,54315029212,Scanbody Op 54.315.029.21-2,
54.315.040.21-2,54315040212,Scanbody Op 54.315.040.21-2,
54.315.090.21-2,54315090212,Scanbody Op 54.315.090.21-2,
54.315.091.21-2,54315091212,Scanbody Op 54.315.091.21-2,
54.315.092.21-2,54315092212,Scanbody Op 54.315.092.21-2,
54.315.251.21-2,54315251212,Scanbody Op 54.315.251.21-2,
54.322.074.31-2,54322074312,Scanbody Reference 54.322.074.31-2,
54.322.181.31-2,54322181312,Scanbody Reference 54.322.181.31-2,
54.322.205.21-2,54322205212,Scanbody Reference 54.322.205.21-2,
61.303.024.03-2,61303024032,Multi-unit GH:2mm GH:3mm,
62.300.178.04-2,62300178042,Internal Multi-unit GH:4mm,
62.302.021.02-2,62302021022,Internal Multi-unit GH:2mm,
62.302.021.03-2,62302021032,Internal Multi-unit GH:3mm,
62.302.029.02-2,62302029022,Internal Multi-unit GH:2mm,
62.302.169.03-2,62302169032,Internal Multi-unit GH:3mm,
62.302.169.04-2,62302169042,Internal Multi-unit GH:4mm,
62.303.015.02-2,62303015022,Internal Multi-unit GH:2mm,
62.303.015.03-2,62303015032,Internal Multi-unit GH:3mm,
62.303.015.04-2,62303015042,Internal Multi-unit GH:4mm,
62.303.022.02-2,62303022022,Internal Multi-unit GH:2mm,
62.303.022.03-2,62303022032,Internal Multi-unit GH:3mm,
62.303.022.04-2,62303022042,Internal Multi-unit GH:4mm,
62.303.121.02-2,62303121022,Internal Multi-unit GH:2mm,
62.303.121.04-2,62303121042,Internal Multi-unit GH:4mm,
