name,description,category,price,stock_quantity,reference,reference_num,ean13,price_match_type,price_reference,retail_name,compatibility_code,ref_segment_1,ref_segment_2,ref_segment_3,ref_segment_4,ref_check_digit,options,generated_description,system_categories,active_system_categories,primary_system_category,is_active_from_categories
Dynamic TiBase NR G0.5 HC9 Comp.0225,,,,0,31.312.225.21-1,31312225211,,none,,,225,31,312,225,21,1,,Referenčný kód: 31.312.225.21-1,,,,0
Dynamic TiBase NR G0.5 HC9 Comp.0225,,,,0,31.312.225.21-2,31312225212,843567351148,none,,,225,31,312,225,21,2,,Referenčný kód: 31.312.225.21-2,,,,0
Dynamic TiBase NR G0.6 Comp.0037,,,,0,31.313.037.01-2,31313037012,843656873095,none,,,037,31,313,037,01,2,"45º|25º|0,6;30º|25º|15º|0,6;3;1","Referenčný kód: 31.313.037.01-2 | Systém: ACE | Parametre: 45º|25º|0,6;30º|25º|15º|0,6;3;1",ACE;ANTHOGYR;BIOCONCEPT;BIOGENESIS;DENTIUM;EUTOTEKNIKA;GT MEDICAL;IMPLANT DIRECT;MEGAGEN;PROCLINIC;SOUTHERN IMPLANTS;STRAUMANN;TRINON;ZIACOM,ACE;ANTHOGYR;BIOCONCEPT;BIOGENESIS;DENTIUM;GT MEDICAL;IMPLANT DIRECT;MEGAGEN;SOUTHERN IMPLANTS;STRAUMANN,ACE,1
Dynamic TiBase NR G0.6 Comp.0040,,,,0,31.312.040.01-2,31312040012,843656873142,none,,,040,31,312,040,01,2,"45º|30º|0,6;25º|1,5;30º|3;15º|30º|4;10º|23º|5;30º|25º|20º|0,6;30º|25º|20º|1;25º|20º|15º|2;25º|20º|15º|3;3;1;2","Referenčný kód: 31.312.040.01-2 | Systém: ALFA-GATE | Parametre: 45º|30º|0,6;25º|1,5;30º|3;15º|30º|4;10º|23º|5;30º|25º|20º|0,6;30º|25º|20º|1;25º|20º|15º|2;25º|20º|15º|3;3;1;2",AB;ADIN;ALFA-GATE;ALPHABIO;ARDS;BIOHORIZONS;BIONER;BIOTEC;BTK;B&W;CORTEX;DITRON;DMI DENTAL SUPPLY;HI-TEC;IMPLANT DIRECT;IMPLANT GENESIS;INTRA-LOCK;JDENTALCARE;LEADER;MIS;NORIS MEDICAL;OSTEOPLUS;PROCLINIC;REFLECT;SOUTHERN IMPLANTS;TREE-OSS;TRI DENTAL IMPLANTS;VULKAN IMPLANTS;ZIACOM;ZIMMER;AVINENT;ECKERMANN;GMI (ILERIMPLANT);MICRODENT;NORMON;NOVA IMPLANTS;PALTOP;RADHEX;RITTER;WIN,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,ALFA-GATE,1
Dynamic TiBase NR G0.6 Comp.0040,,,,0,31.312.040.01-2,31312040012,843656873142,none,,,040,31,312,040,01,2,"45º|30º|0,6;25º|1,5;30º|3;15º|30º|4;10º|23º|5;30º|25º|20º|0,6;30º|25º|20º|1;25º|20º|15º|2;25º|20º|15º|3;3;1;2","Referenčný kód: 31.312.040.01-2 | Systém: ALFA-GATE | Parametre: 45º|30º|0,6;25º|1,5;30º|3;15º|30º|4;10º|23º|5;30º|25º|20º|0,6;30º|25º|20º|1;25º|20º|15º|2;25º|20º|15º|3;3;1;2",AB;ADIN;ALFA-GATE;ALPHABIO;ARDS;BIOHORIZONS;BIONER;BIOTEC;BTK;B&W;CORTEX;DITRON;DMI DENTAL SUPPLY;HI-TEC;IMPLANT DIRECT;IMPLANT GENESIS;INTRA-LOCK;JDENTALCARE;LEADER;MIS;NORIS MEDICAL;OSTEOPLUS;PROCLINIC;REFLECT;SOUTHERN IMPLANTS;TREE-OSS;TRI DENTAL IMPLANTS;VULKAN IMPLANTS;ZIACOM;ZIMMER;AVINENT;ECKERMANN;GMI (ILERIMPLANT);MICRODENT;NORMON;NOVA IMPLANTS;PALTOP;RADHEX;RITTER;WIN,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,ALFA-GATE,1
Dynamic TiBase NR G0.6 Comp.0042,,,,0,31.312.042.01-2,31312042012,843656873148,none,,,042,31,312,042,01,2,"2|25|4,2|2,2|3,1|1,1|2,315|30","Referenčný kód: 31.312.042.01-2 | Parametre: 2|25|4,2|2,2|3,1|1,1|2,315|30",,,,0
Dynamic TiBase NR G0.6 Comp.0047,,,,0,31.312.047.01-2,31312047012,843656873091,none,,,047,31,312,047,01,2,"45º|30º|0,6;30º|25º|20º|0,6;10;3;24;2|25|4,7|3|3,3|1,4|2,3|1,70","Referenčný kód: 31.312.047.01-2 | Systém: NEOSS | Parametre: 45º|30º|0,6;30º|25º|20º|0,6;10;3;24;2|25|4,7|3|3,3|1,4|2,3|1,70",NEOSS,NEOSS,NEOSS,1
Dynamic TiBase NR G0.6 Comp.0048,,,,0,31.313.048.01-2,31313048012,843656873092,none,,,048,31,313,048,01,2,"45º|30º|0,6;30º|25º|20º|0,6;24;45º|1,6|20|4,8|2,6|2,93|3,5|1,3;31º|45º|1,6|20|4,8|2,85|3|3,58;60º|45º|2|25|4,8|2,7|3,3|3,4","Referenčný kód: 31.313.048.01-2 | Systém: NEOSS | Parametre: 45º|30º|0,6;30º|25º|20º|0,6;24;45º|1,6|20|4,8|2,6|2,93|3,5|1,3;31º|45º|1,6|20|4,8|2,85|3|3,58;60º|45º|2|25|4,8|2,7|3,3|3,4",NEOSS,NEOSS,NEOSS,1
Dynamic TiBase NR G0.6 Comp.0049,,,,0,31.311.049.01-2,31311049012,843656873031,none,,,049,31,311,049,01,2,"45º|30º|0,6;3","Referenčný kód: 31.311.049.01-2 | Systém: BEGO | Parametre: 45º|30º|0,6;3",BEGO,BEGO,BEGO,1
Dynamic TiBase NR G0.6 Comp.0054,,,,0,31.313.054.01-2,31313054012,843656873068,none,,,054,31,313,054,01,2,"45º|25º|0,6;3;2,5|25|5,4|4,6|4,1|1,3|2,865|1,70","Referenčný kód: 31.313.054.01-2 | Systém: KLOCKNER | Parametre: 45º|25º|0,6;3;2,5|25|5,4|4,6|4,1|1,3|2,865|1,70",KLOCKNER,KLOCKNER,KLOCKNER,1
Dynamic TiBase NR G0.6 Comp.0061,,,,0,31.314.061.01-2,31314061012,843656873127,none,,,061,31,314,061,01,2,"45º|30º|0,6;10;3|34.614|061.01|2","Referenčný kód: 31.314.061.01-2 | Systém: DENTIS | Parametre: 45º|30º|0,6;10;3|34.614|061.01|2",AVINENT;COLLELMEDI;DENTIS;DIO IMPLANTS;GMI (ILERIMPLANT);GT MEDICAL;KEYSTONE;KLOCKNER;MOZO-GRAU (TICARE);NOBEL BIOCARE;OSSTEM IMPLANT;TREE-OSS,DENTIS;DIO IMPLANTS;GT MEDICAL;KEYSTONE;KLOCKNER;NOBEL BIOCARE;OSSTEM IMPLANT,DENTIS,1
Dynamic TiBase NR G0.6 Comp.0074,,,,0,31.313.074.01-2,31313074012,843656873120,none,,,074,31,313,074,01,2,"24;45º|30º|0,6;10;3|34.613|074.01|2;25º|45º|1,4|15|7,4|3,55|5|5,99;50º|45º|1,8|25|7,4|3,8|5,8|6,04;2|25|7,4|3,3|6|1,4|2,3|1,70","Referenčný kód: 31.313.074.01-2 | Systém: ANTHOGYR | Parametre: 24;45º|30º|0,6;10;3|34.613|074.01|2;25º|45º|1,4|15|7,4|3,55|5|5,99;50º|45º|1,8|25|7,4|3,8|5,8|6,04;2|25|7,4|3,3|6|1,4|2,3|1,70",ANTHOGYR;DENTIUM;DIO IMPLANTS;EUROTEKNIKA;GT MEDICAL;IMPLANT DIRECT;MEGAGEN;PROCLINIC;STRAUMANN;TRINON;ZIACOM,ANTHOGYR;DENTIUM;DIO IMPLANTS;EUROTEKNIKA;GT MEDICAL;IMPLANT DIRECT;MEGAGEN;STRAUMANN,ANTHOGYR,1
Dynamic TiBase NR G0.6 Comp.0096,,,,0,31.314.096.01-2,31314096012,843656873096,none,,,096,31,314,096,01,2,"45º|30º|0,6;3","Referenčný kód: 31.314.096.01-2 | Systém: ACE | Parametre: 45º|30º|0,6;3",ACE;ANTHOGYR;DENTIUM;EUROTEKNIKA;IMPLANT DIRECT;PROCLINIC;SOUTHERN IMPLANTS;STRAUMANN,ACE;ANTHOGYR;DENTIUM;EUROTEKNIKA;IMPLANT DIRECT;SOUTHERN IMPLANTS;STRAUMANN,ACE,1
Dynamic TiBase NR G0.6 Comp.0137,,,,0,31.314.137.01-2,31314137012,843656873220,none,,,137,31,314,137,01,2,"24;45º|30º|0,6;2|25|13,7|4|7,5|6,2|2,3|1,70","Referenčný kód: 31.314.137.01-2 | Systém: STRAUMANN | Parametre: 24;45º|30º|0,6;2|25|13,7|4|7,5|6,2|2,3|1,70",STRAUMANN,STRAUMANN,STRAUMANN,1
Dynamic TiBase NR G0.6 Comp.0169,,,,0,31.312.169.01-2,31312169012,843656873230,none,,,169,31,312,169,01,2,"45º|29º|0,6;25º|15º|1,5;20º|3;30º|25º|15º|1,5;25º|20º|15º|3;12;3;1;2;4;1,5|2,9;2,5|3,9","Referenčný kód: 31.312.169.01-2 | Systém: ALPHABIO | Parametre: 45º|29º|0,6;25º|15º|1,5;20º|3;30º|25º|15º|1,5;25º|20º|15º|3;12;3;1;2;4;1,5|2,9;2,5|3,9",ALPHABIO,ALPHABIO,ALPHABIO,1
Dynamic TiBase NR G0.6 HC9 Comp.0037,,,,0,31.313.037.21-2,31313037212,843656873936,none,,,037,31,313,037,21,2,"45º|25º|0,6;30º|25º|15º|0,6;3;1","Referenčný kód: 31.313.037.21-2 | Systém: ACE | Parametre: 45º|25º|0,6;30º|25º|15º|0,6;3;1",ACE;ANTHOGYR;BIOCONCEPT;BIOGENESIS;DENTIUM;EUTOTEKNIKA;GT MEDICAL;IMPLANT DIRECT;MEGAGEN;PROCLINIC;SOUTHERN IMPLANTS;STRAUMANN;TRINON;ZIACOM,ACE;ANTHOGYR;BIOCONCEPT;BIOGENESIS;DENTIUM;GT MEDICAL;IMPLANT DIRECT;MEGAGEN;SOUTHERN IMPLANTS;STRAUMANN,ACE,1
Dynamic TiBase NR G0.6 HC9 Comp.0040,,,,0,31.312.040.21-2,31312040212,843656873439,none,,,040,31,312,040,21,2,"45º|30º|0,6;25º|1,5;30º|3;15º|30º|4;10º|23º|5;30º|25º|20º|0,6;30º|25º|20º|1;25º|20º|15º|2;25º|20º|15º|3;3;1;2","Referenčný kód: 31.312.040.21-2 | Systém: ALFA-GATE | Parametre: 45º|30º|0,6;25º|1,5;30º|3;15º|30º|4;10º|23º|5;30º|25º|20º|0,6;30º|25º|20º|1;25º|20º|15º|2;25º|20º|15º|3;3;1;2",AB;ADIN;ALFA-GATE;ALPHABIO;ARDS;BIOHORIZONS;BIONER;BIOTEC;BTK;B&W;CORTEX;DITRON;DMI DENTAL SUPPLY;HI-TEC;IMPLANT DIRECT;IMPLANT GENESIS;INTRA-LOCK;JDENTALCARE;LEADER;MIS;NORIS MEDICAL;OSTEOPLUS;PROCLINIC;REFLECT;SOUTHERN IMPLANTS;TREE-OSS;TRI DENTAL IMPLANTS;VULKAN IMPLANTS;ZIACOM;ZIMMER;AVINENT;ECKERMANN;GMI (ILERIMPLANT);MICRODENT;NORMON;NOVA IMPLANTS;PALTOP;RADHEX;RITTER;WIN,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,ALFA-GATE,1
Dynamic TiBase NR G0.6 HC9 Comp.0040,,,,0,31.312.040.21-2,31312040212,843656873439,none,,,040,31,312,040,21,2,"45º|30º|0,6;25º|1,5;30º|3;15º|30º|4;10º|23º|5;30º|25º|20º|0,6;30º|25º|20º|1;25º|20º|15º|2;25º|20º|15º|3;3;1;2","Referenčný kód: 31.312.040.21-2 | Systém: ALFA-GATE | Parametre: 45º|30º|0,6;25º|1,5;30º|3;15º|30º|4;10º|23º|5;30º|25º|20º|0,6;30º|25º|20º|1;25º|20º|15º|2;25º|20º|15º|3;3;1;2",AB;ADIN;ALFA-GATE;ALPHABIO;ARDS;BIOHORIZONS;BIONER;BIOTEC;BTK;B&W;CORTEX;DITRON;DMI DENTAL SUPPLY;HI-TEC;IMPLANT DIRECT;IMPLANT GENESIS;INTRA-LOCK;JDENTALCARE;LEADER;MIS;NORIS MEDICAL;OSTEOPLUS;PROCLINIC;REFLECT;SOUTHERN IMPLANTS;TREE-OSS;TRI DENTAL IMPLANTS;VULKAN IMPLANTS;ZIACOM;ZIMMER;AVINENT;ECKERMANN;GMI (ILERIMPLANT);MICRODENT;NORMON;NOVA IMPLANTS;PALTOP;RADHEX;RITTER;WIN,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,ALFA-GATE,1
Dynamic TiBase NR G0.6 HC9 Comp.0047,,,,0,31.312.047.21-2,31312047212,843656873305,none,,,047,31,312,047,21,2,"45º|30º|0,6;30º|25º|20º|0,6;10;3;24;2|25|4,7|3|3,3|1,4|2,3|1,70","Referenčný kód: 31.312.047.21-2 | Systém: NEOSS | Parametre: 45º|30º|0,6;30º|25º|20º|0,6;10;3;24;2|25|4,7|3|3,3|1,4|2,3|1,70",NEOSS,NEOSS,NEOSS,1
Dynamic TiBase NR G0.6 HC9 Comp.0048,,,,0,31.313.048.21-2,31313048212,843656873306,none,,,048,31,313,048,21,2,"45º|30º|0,6;30º|25º|20º|0,6;24;45º|1,6|20|4,8|2,6|2,93|3,5|1,3;31º|45º|1,6|20|4,8|2,85|3|3,58;60º|45º|2|25|4,8|2,7|3,3|3,4","Referenčný kód: 31.313.048.21-2 | Systém: NEOSS | Parametre: 45º|30º|0,6;30º|25º|20º|0,6;24;45º|1,6|20|4,8|2,6|2,93|3,5|1,3;31º|45º|1,6|20|4,8|2,85|3|3,58;60º|45º|2|25|4,8|2,7|3,3|3,4",NEOSS,NEOSS,NEOSS,1
Dynamic TiBase NR G0.7 Comp.0013,,,,0,31.313.013.01-2,31313013012,843656873056,none,,,013,31,313,013,01,2,"43º|23º|0,7;45º|1,8|0,35|25|7,7|2,5|5,7|6,4","Referenčný kód: 31.313.013.01-2 | Systém: DIO IMPLANTS | Parametre: 43º|23º|0,7;45º|1,8|0,35|25|7,7|2,5|5,7|6,4",DIO IMPLANTS,DIO IMPLANTS,DIO IMPLANTS,1
Dynamic TiBase NR G0.7 Comp.0017,,,,0,31.313.017.01-2,31313017012,843656873083,none,,,017,31,313,017,01,2,"45º|24º|0,7;25º|15º|1,5;30º|25º|15º|0,7;10;3;2","Referenčný kód: 31.313.017.01-2 | Systém: MIS | Parametre: 45º|24º|0,7;25º|15º|1,5;30º|25º|15º|0,7;10;3;2",MIS,MIS,MIS,1
Dynamic TiBase NR G0.7 Comp.0038,,,,0,31.312.038.01-2,31312038012,843656873136,none,,,038,31,312,038,01,2,"45º|29º|0,7;30º|25º|10º|0,7;3;70º|45º|2|3,81|2,35|2,42|1,39|1,70","Referenčný kód: 31.312.038.01-2 | Systém: XIVE | Parametre: 45º|29º|0,7;30º|25º|10º|0,7;3;70º|45º|2|3,81|2,35|2,42|1,39|1,70",XIVE,XIVE,XIVE,1
Dynamic TiBase NR G0.7 Comp.0039,,,,0,31.313.039.01-2,31313039012,843656873137,none,,,039,31,313,039,01,2,"24;45º|29º|0,7;25º|2;30º|25º|10º|0,7;3;1;45º|1,4|15|3,9|1,8|2,1|2,4|1,70;60º|45º|2|3,9|1,9|2,41|2,5|1,4","Referenčný kód: 31.313.039.01-2 | Systém: XIVE | Parametre: 24;45º|29º|0,7;25º|2;30º|25º|10º|0,7;3;1;45º|1,4|15|3,9|1,8|2,1|2,4|1,70;60º|45º|2|3,9|1,9|2,41|2,5|1,4",SIN IMPLANTS;XIVE,XIVE,XIVE,1
Dynamic TiBase NR G0.7 Comp.0059,,,,0,31.314.059.01-2,31314059012,843656873046,none,,,059,31,314,059,01,2,"24;45º|27º|0,7;3","Referenčný kód: 31.314.059.01-2 | Systém: BTI | Parametre: 24;45º|27º|0,7;3",BTI,BTI,BTI,1
Dynamic TiBase NR G0.7 HC9 Comp.0017,,,,0,31.313.017.21-2,31313017212,843656873686,none,,,017,31,313,017,21,2,"45º|24º|0,7;25º|15º|1,5;30º|25º|15º|0,7;10;3;2","Referenčný kód: 31.313.017.21-2 | Systém: MIS | Parametre: 45º|24º|0,7;25º|15º|1,5;30º|25º|15º|0,7;10;3;2",MIS,MIS,MIS,1
Dynamic TiBase NR G0.7 HC9 Comp.0038,,,,0,31.312.038.21-2,31312038212,843656873688,none,,,038,31,312,038,21,2,"45º|29º|0,7;30º|25º|10º|0,7;3;70º|45º|2|3,81|2,35|2,42|1,39|1,70","Referenčný kód: 31.312.038.21-2 | Systém: XIVE | Parametre: 45º|29º|0,7;30º|25º|10º|0,7;3;70º|45º|2|3,81|2,35|2,42|1,39|1,70",XIVE,XIVE,XIVE,1
Dynamic TiBase NR G0.7 HC9 Comp.0039,,,,0,31.313.039.21-2,31313039212,843656873690,none,,,039,31,313,039,21,2,"24;45º|29º|0,7;25º|2;30º|25º|10º|0,7;3;1;45º|1,4|15|3,9|1,8|2,1|2,4|1,70;60º|45º|2|3,9|1,9|2,41|2,5|1,4","Referenčný kód: 31.313.039.21-2 | Systém: XIVE | Parametre: 24;45º|29º|0,7;25º|2;30º|25º|10º|0,7;3;1;45º|1,4|15|3,9|1,8|2,1|2,4|1,70;60º|45º|2|3,9|1,9|2,41|2,5|1,4",SIN IMPLANTS;XIVE,XIVE,XIVE,1
Dynamic TiBase NR G0.8 Comp.0016,,,,0,31.312.016.01-2,31312016012,843656873082,none,,,016,31,312,016,01,2,"45º|28º|0,8;25º|1,5;25º|15º|1.5;3;1;2;4","Referenčný kód: 31.312.016.01-2 | Systém: MIS | Parametre: 45º|28º|0,8;25º|1,5;25º|15º|1.5;3;1;2;4",MIS,MIS,MIS,1
Dynamic TiBase NR G0.8 Comp.0019,,,,0,31.312.019.01-2,31312019012,843656873088,none,,,019,31,312,019,01,2,"45º|30º|0,8;3;1","Referenčný kód: 31.312.019.01-2 | Systém: MIS | Parametre: 45º|30º|0,8;3;1",MIS,MIS,MIS,1
Dynamic TiBase NR G0.8 Comp.0191,,,,0,31.312.191.01-2,31312191012,843656873849,none,,,191,31,312,191,01,2,"45º|0,8","Referenčný kód: 31.312.191.01-2 | Systém: DENTIUM | Parametre: 45º|0,8",COMPATIBILITIES AVAILABLE;DENTIUM;Marca,DENTIUM,DENTIUM,1
Dynamic TiBase NR G0.9 Comp.0167,,,,0,31.312.167.01-2,31312167012,843567350357,none,,,167,31,312,167,01,2,"43º|30º|0,9;3","Referenčný kód: 31.312.167.01-2 | Systém: LASAK | Parametre: 43º|30º|0,9;3",KUWOTECH;LASAK,LASAK,LASAK,1
Dynamic TiBase NR G1 Comp.0004,,,,0,31.313.004.01-2,31313004012,843656873025,none,,,004,31,313,004,01,2,"45º|29º|1;30º|20º|2;25º|3;20º|25º|4;25º|20º|10º|1;3;1;2;4;2.5|3,9;3,5|4,9;4,5|5,9","Referenčný kód: 31.313.004.01-2 | Systém: ASTRA | Parametre: 45º|29º|1;30º|20º|2;25º|3;20º|25º|4;25º|20º|10º|1;3;1;2;4;2.5|3,9;3,5|4,9;4,5|5,9",ASTRA;CORTEX;EASY IMPLANTS;EUROTEKNIKA;GALIMPLANT;IMPLANTSWISS;MOZO-GRAU (TICARE);MPI;PROCLINIC;REFLECT;SIGNO VINCES;SOUTHERN IMPLANTS;TITANIUM-FIX;UFIT;WARANTEC (ONEPLANT);ZIACOM,ASTRA;CORTEX;EUROTEKNIKA;IMPLANTSWISS;SOUTHERN IMPLANTS;UFIT,ASTRA,1
Dynamic TiBase NR G1 Comp.0005,,,,0,31.314.005.01-2,31314005012,843656873027,none,,,005,31,314,005,01,2,"1.27;38º|23º|1;25º|15º|2;20º|3;15º|4;25º|20º|10º|1;3;1,27;45º|1,4|0,3|15|7,6|3,6|5,21|6;45º|1,4|0,3|15|7,5|2,4|5,5|5,7;45º|1,4|0,3|15|4|1,7|2,25|1,75;45º|1,6|0,35|20|7,5|3,6|5,44|5,9","Referenčný kód: 31.314.005.01-2 | Systém: ASTRA | Parametre: 1.27;38º|23º|1;25º|15º|2;20º|3;15º|4;25º|20º|10º|1;3;1,27;45º|1,4|0,3|15|7,6|3,6|5,21|6;45º|1,4|0,3|15|7,5|2,4|5,5|5,7;45º|1,4|0,3|15|4|1,7|2,25|1,75;45º|1,6|0,35|20|7,5|3,6|5,44|5,9",ASTRA;BIOGENESIS;CORTEX;GT MEDICAL;MOZO-GRAU (TICARE);MPI;REFLECT;SIGNO VINCES;PROCLINIC;SOUTHERN IMPLANTS;TITANIUM-FIX;UFIT,ASTRA;BIOGENESIS;CORTEX;GT MEDICAL;SOUTHERN IMPLANTS;UFIT,ASTRA,1
Dynamic TiBase NR G1 Comp.0009,,,,0,31.312.009.03-2,31312009032,843656873820,none,,,009,31,312,009,03,2,"45º|25º|0,3;25º|0,5;25º|1;3","Referenčný kód: 31.312.009.03-2 | Systém: BTI | Parametre: 45º|25º|0,3;25º|0,5;25º|1;3",BTI;MPI;OSTEOPLUS;PROCLINIC,BTI,BTI,1
Dynamic TiBase NR G1 Comp.0009,,,,0,31.312.009.03-2,31312009032,843656873820,none,,,009,31,312,009,03,2,"45º|25º|0,3;25º|0,5;25º|1;3","Referenčný kód: 31.312.009.03-2 | Systém: BTI | Parametre: 45º|25º|0,3;25º|0,5;25º|1;3",BTI;MPI;OSTEOPLUS;PROCLINIC,BTI,BTI,1
Dynamic TiBase NR G1 Comp.0010,,,,0,31.313.010.02-2,31313010022,,none,,,010,31,313,010,02,2,"45º|29º|0,3;43.624|410.012;3;1;2;4;12","Referenčný kód: 31.313.010.02-2 | Systém: BTI | Parametre: 45º|29º|0,3;43.624|410.012;3;1;2;4;12",BTI,BTI,BTI,1
Dynamic TiBase NR G1 Comp.0044,,,,0,31.312.044.01-2,31312044012,843656873070,none,,,044,31,312,044,01,2,"24;42º|23º|1;25º|2;25º|20º|10º|1;3;60º|45º|1,4|15|4,4|2,15|2,73|3;1,8|25|4,4|2,75|3|1,4|2,3|1,70;45º|2|25|4,4|2,45|2,95|3,1|1,3","Referenčný kód: 31.312.044.01-2 | Systém: KEYSTONE | Parametre: 24;42º|23º|1;25º|2;25º|20º|10º|1;3;60º|45º|1,4|15|4,4|2,15|2,73|3;1,8|25|4,4|2,75|3|1,4|2,3|1,70;45º|2|25|4,4|2,45|2,95|3,1|1,3",KEYSTONE,KEYSTONE,KEYSTONE,1
Dynamic TiBase NR G1 Comp.0045,,,,0,31.313.045.01-2,31313045012,843656873071,none,,,045,31,313,045,01,2,"24;43º|22º|1;25º|2;25º|20º|10º|1;3;70º|45º|1,8|25|4,5|2,3|2,81|2,9","Referenčný kód: 31.313.045.01-2 | Systém: KEYSTONE | Parametre: 24;43º|22º|1;25º|2;25º|20º|10º|1;3;70º|45º|1,8|25|4,5|2,3|2,81|2,9",KEYSTONE,KEYSTONE,KEYSTONE,1
Dynamic TiBase NR G1 Comp.0046,,,,0,31.314.046.01-2,31314046012,843656873072,none,,,046,31,314,046,01,2,"42º|21º|1;30º|20º|10º|1;10;3;24;35º|45º|1,4|15|4,6|2,5|3,17|1,43","Referenčný kód: 31.314.046.01-2 | Systém: KEYSTONE | Parametre: 42º|21º|1;30º|20º|10º|1;10;3;24;35º|45º|1,4|15|4,6|2,5|3,17|1,43",KEYSTONE,KEYSTONE,KEYSTONE,1
Dynamic TiBase NR G1 Comp.0086,,,,0,31.315.086.01-2,31315086012,843656873634,none,,,086,31,315,086,01,2,"45º|1;24;45º|1,6|20|8,6|3|7,2|1,4|2,3","Referenčný kód: 31.315.086.01-2 | Systém: XIVE | Parametre: 45º|1;24;45º|1,6|20|8,6|3|7,2|1,4|2,3",XIVE,XIVE,XIVE,1
Dynamic TiBase NR G1 Comp.0092,,,,0,31.315.092.01-2,31315092012,843656873611,none,,,092,31,315,092,01,2,45º|25º|1;25º|2;20º|3;30º|25º|15º|1;3,Referenčný kód: 31.315.092.01-2 | Systém: ASTRA | Parametre: 45º|25º|1;25º|2;20º|3;30º|25º|15º|1;3,ASTRA,ASTRA,ASTRA,1
"Dynamic TiBase NR G1 Comp.0120, 0121",,,,0,31.313.121.01-2,31313121012,843656873053,none,,,121,31,313,121,01,2,45º|25º|1;25º|20º|15º|2;25º|20º|10º|3;1;2;3;4;12,Referenčný kód: 31.313.121.01-2 | Systém: CAMLOG | Parametre: 45º|25º|1;25º|20º|15º|2;25º|20º|10º|3;1;2;3;4;12,CAMLOG,CAMLOG,CAMLOG,1
Dynamic TiBase NR G1 Comp.0165,,,,0,31.313.165.01-2,31313165012,843656873225,none,,,165,31,313,165,01,2,,Referenčný kód: 31.313.165.01-2,,,,0
Dynamic TiBase NR G1 Comp.0223,,,,0,31.313.223.01-2,31313223012,843567351324,none,,,223,31,313,223,01,2,30º|1;25º|15º|2;20º|10º|3;3,Referenčný kód: 31.313.223.01-2 | Systém: MEGAGEN | Parametre: 30º|1;25º|15º|2;20º|10º|3;3,MEGAGEN,MEGAGEN,MEGAGEN,1
Dynamic TiBase NR G1 Comp.0246,,,,0,31.312.246.01-2,31312246012,843567351000,none,,,246,31,312,246,01,2,25º|1;25º|2,Referenčný kód: 31.312.246.01-2 | Systém: TECH | Parametre: 25º|1;25º|2,TECH,,TECH,0
Dynamic TiBase NR G1 Comp.0251,,,,0,31.312.251.01-2,31312251012,843567350616,none,,,251,31,312,251,01,2,"40º|25º|1;40º|20º|1,5;25º|10º|3;1;2;3;4","Referenčný kód: 31.312.251.01-2 | Systém: BREDENT MEDICAL | Parametre: 40º|25º|1;40º|20º|1,5;25º|10º|3;1;2;3;4",BREDENT MEDICAL,BREDENT MEDICAL,BREDENT MEDICAL,1
Dynamic TiBase NR G1 HC9 Comp.0003,,,,0,31.312.003.23-2,31312003232,843567350348,none,,,003,31,312,003,23,2,"1.20;45º|30º|0,3;25º|30º|0,5;30º|25º|15º|1;3;1,20;45º|1,2|0,25|15|7,85|2,7|6,2|6,55;45º|1,4|0,3|15|3,9|1,91|2,1|1,8;45º|1,4|0,3|15|4|2|2,2|1,8;45º|1,4|0,3|15|7,6|2,4|6,05|6,3;45º|1,4|0,3|15|7,5|2,5|5,45|5,7;30º|1,4|0,3|15|5,3|1,34|3,7|1,6","Referenčný kód: 31.312.003.23-2 | Systém: BTK | Parametre: 1.20;45º|30º|0,3;25º|30º|0,5;30º|25º|15º|1;3;1,20;45º|1,2|0,25|15|7,85|2,7|6,2|6,55;45º|1,4|0,3|15|3,9|1,91|2,1|1,8;45º|1,4|0,3|15|4|2|2,2|1,8;45º|1,4|0,3|15|7,6|2,4|6,05|6,3;45º|1,4|0,3|15|7,5|2,5|5,45|5,7;30º|1,4|0,3|15|5,3|1,34|3,7|1,6",BIOMET 3L;BIOLOK;BTK;EASY IMPLANT;MICRODENT;MOZO-GRAU (TICARE);SOUTHERN IMPLANTS,BTK;MICRODENT;SOUTHERN IMPLANTS,BTK,1
